Geography,Geographic Area Name,population_25p_bachelors_or_higher
1400000US12001000201,Census Tract 2.01; Alachua County; Florida,807
1400000US12011110344,Census Tract 1103.44; Broward County; Florida,1414
1400000US12011110345,Census Tract 1103.45; Broward County; Florida,1093
1400000US12011110346,Census Tract 1103.46; Broward County; Florida,1378
1400000US12011110347,Census Tract 1103.47; Broward County; Florida,1692
1400000US12011110348,Census Tract 1103.48; Broward County; Florida,1318
1400000US12011110349,Census Tract 1103.49; Broward County; Florida,1064
1400000US12011110350,Census Tract 1103.50; Broward County; Florida,726
1400000US12011110351,Census Tract 1103.51; Broward County; Florida,1205
1400000US12011110352,Census Tract 1103.52; Broward County; Florida,629
1400000US12011110353,Census Tract 1103.53; Broward County; Florida,1299
1400000US12011110354,Census Tract 1103.54; Broward County; Florida,1338
1400000US12011110355,Census Tract 1103.55; Broward County; Florida,1193
1400000US12011110356,Census Tract 1103.56; Broward County; Florida,1923
1400000US12011110357,Census Tract 1103.57; Broward County; Florida,2378
1400000US12011110358,Census Tract 1103.58; Broward County; Florida,1966
1400000US12011110359,Census Tract 1103.59; Broward County; Florida,1784
1400000US12011110360,Census Tract 1103.60; Broward County; Florida,1600
1400000US12011110361,Census Tract 1103.61; Broward County; Florida,3448
1400000US12011110362,Census Tract 1103.62; Broward County; Florida,2532
1400000US12011110363,Census Tract 1103.63; Broward County; Florida,2023
1400000US12011110364,Census Tract 1103.64; Broward County; Florida,2010
1400000US12011110365,Census Tract 1103.65; Broward County; Florida,1920
1400000US12011110366,Census Tract 1103.66; Broward County; Florida,888
1400000US12011110367,Census Tract 1103.67; Broward County; Florida,1141
1400000US12011110368,Census Tract 1103.68; Broward County; Florida,940
1400000US12011110402,Census Tract 1104.02; Broward County; Florida,946
1400000US12011110403,Census Tract 1104.03; Broward County; Florida,949
1400000US12011110404,Census Tract 1104.04; Broward County; Florida,755
1400000US12011110501,Census Tract 1105.01; Broward County; Florida,464
1400000US12011110502,Census Tract 1105.02; Broward County; Florida,921
1400000US12011110600,Census Tract 1106; Broward County; Florida,1281
1400000US12011980000,Census Tract 9800; Broward County; Florida,0
1400000US12011990000,Census Tract 9900; Broward County; Florida,0
1400000US12013010100,Census Tract 101; Calhoun County; Florida,349
1400000US12013010200,Census Tract 102; Calhoun County; Florida,275
1400000US12013010301,Census Tract 103.01; Calhoun County; Florida,395
1400000US12013010302,Census Tract 103.02; Calhoun County; Florida,284
1400000US12015010100,Census Tract 101; Charlotte County; Florida,1361
1400000US12015010200,Census Tract 102; Charlotte County; Florida,1029
1400000US12015010301,Census Tract 103.01; Charlotte County; Florida,818
1400000US12015010302,Census Tract 103.02; Charlotte County; Florida,739
1400000US12015010401,Census Tract 104.01; Charlotte County; Florida,1538
1400000US12015010402,Census Tract 104.02; Charlotte County; Florida,1040
1400000US12015010405,Census Tract 104.05; Charlotte County; Florida,2874
1400000US12015010503,Census Tract 105.03; Charlotte County; Florida,839
1400000US12015010504,Census Tract 105.04; Charlotte County; Florida,103
1400000US12015010505,Census Tract 105.05; Charlotte County; Florida,997
1400000US12015010506,Census Tract 105.06; Charlotte County; Florida,628
1400000US12015020101,Census Tract 201.01; Charlotte County; Florida,1556
1400000US12015020103,Census Tract 201.03; Charlotte County; Florida,1214
1400000US12015020104,Census Tract 201.04; Charlotte County; Florida,698
1400000US12015020203,Census Tract 202.03; Charlotte County; Florida,682
1400000US12015020204,Census Tract 202.04; Charlotte County; Florida,789
1400000US12015020205,Census Tract 202.05; Charlotte County; Florida,733
1400000US12015020206,Census Tract 202.06; Charlotte County; Florida,543
1400000US12015020301,Census Tract 203.01; Charlotte County; Florida,1091
1400000US12015020302,Census Tract 203.02; Charlotte County; Florida,618
1400000US12015020303,Census Tract 203.03; Charlotte County; Florida,913
1400000US12015020401,Census Tract 204.01; Charlotte County; Florida,971
1400000US12015020402,Census Tract 204.02; Charlotte County; Florida,1156
1400000US12015020501,Census Tract 205.01; Charlotte County; Florida,1054
1400000US12015020502,Census Tract 205.02; Charlotte County; Florida,894
1400000US12015020601,Census Tract 206.01; Charlotte County; Florida,434
1400000US12015020602,Census Tract 206.02; Charlotte County; Florida,533
1400000US12015020700,Census Tract 207; Charlotte County; Florida,374
1400000US12015020800,Census Tract 208; Charlotte County; Florida,497
1400000US12015020900,Census Tract 209; Charlotte County; Florida,968
1400000US12015021001,Census Tract 210.01; Charlotte County; Florida,419
1400000US12015021002,Census Tract 210.02; Charlotte County; Florida,911
1400000US12015021003,Census Tract 210.03; Charlotte County; Florida,835
1400000US12015030101,Census Tract 301.01; Charlotte County; Florida,745
1400000US12015030102,Census Tract 301.02; Charlotte County; Florida,707
1400000US12015030201,Census Tract 302.01; Charlotte County; Florida,635
1400000US12015030202,Census Tract 302.02; Charlotte County; Florida,304
1400000US12015030301,Census Tract 303.01; Charlotte County; Florida,1086
1400000US12015030302,Census Tract 303.02; Charlotte County; Florida,602
1400000US12015030401,Census Tract 304.01; Charlotte County; Florida,604
1400000US12015030402,Census Tract 304.02; Charlotte County; Florida,905
1400000US12015030501,Census Tract 305.01; Charlotte County; Florida,1852
1400000US12015030504,Census Tract 305.04; Charlotte County; Florida,538
1400000US12015030505,Census Tract 305.05; Charlotte County; Florida,1720
1400000US12015030506,Census Tract 305.06; Charlotte County; Florida,811
1400000US12015030507,Census Tract 305.07; Charlotte County; Florida,742
1400000US12015990000,Census Tract 9900; Charlotte County; Florida,0
1400000US12017450103,Census Tract 4501.03; Citrus County; Florida,816
1400000US12017450104,Census Tract 4501.04; Citrus County; Florida,653
1400000US12017450105,Census Tract 4501.05; Citrus County; Florida,292
1400000US12017450106,Census Tract 4501.06; Citrus County; Florida,358
1400000US12017450201,Census Tract 4502.01; Citrus County; Florida,442
1400000US12017450202,Census Tract 4502.02; Citrus County; Florida,306
1400000US12017450305,Census Tract 4503.05; Citrus County; Florida,491
1400000US12017450306,Census Tract 4503.06; Citrus County; Florida,516
1400000US12017450307,Census Tract 4503.07; Citrus County; Florida,1481
1400000US12017450308,Census Tract 4503.08; Citrus County; Florida,1456
1400000US12017450309,Census Tract 4503.09; Citrus County; Florida,725
1400000US12017450310,Census Tract 4503.10; Citrus County; Florida,520
1400000US12017450401,Census Tract 4504.01; Citrus County; Florida,568
1400000US12017450402,Census Tract 4504.02; Citrus County; Florida,664
1400000US12017450501,Census Tract 4505.01; Citrus County; Florida,713
1400000US12017450502,Census Tract 4505.02; Citrus County; Florida,665
1400000US12017450601,Census Tract 4506.01; Citrus County; Florida,736
1400000US12017450602,Census Tract 4506.02; Citrus County; Florida,730
1400000US12017450703,Census Tract 4507.03; Citrus County; Florida,2226
1400000US12017450704,Census Tract 4507.04; Citrus County; Florida,798
1400000US12017450705,Census Tract 4507.05; Citrus County; Florida,706
1400000US12017450706,Census Tract 4507.06; Citrus County; Florida,586
1400000US12017450800,Census Tract 4508; Citrus County; Florida,426
1400000US12017450901,Census Tract 4509.01; Citrus County; Florida,541
1400000US12017450902,Census Tract 4509.02; Citrus County; Florida,498
1400000US12017451001,Census Tract 4510.01; Citrus County; Florida,339
1400000US12017451002,Census Tract 4510.02; Citrus County; Florida,717
1400000US12017451101,Census Tract 4511.01; Citrus County; Florida,342
1400000US12017451103,Census Tract 4511.03; Citrus County; Florida,294
1400000US12017451104,Census Tract 4511.04; Citrus County; Florida,329
1400000US12017451200,Census Tract 4512; Citrus County; Florida,711
1400000US12017451300,Census Tract 4513; Citrus County; Florida,404
1400000US12017451400,Census Tract 4514; Citrus County; Florida,656
1400000US12017451501,Census Tract 4515.01; Citrus County; Florida,385
1400000US12017451502,Census Tract 4515.02; Citrus County; Florida,407
1400000US12017451603,Census Tract 4516.03; Citrus County; Florida,366
1400000US12017451604,Census Tract 4516.04; Citrus County; Florida,852
1400000US12017451605,Census Tract 4516.05; Citrus County; Florida,145
1400000US12017451606,Census Tract 4516.06; Citrus County; Florida,1168
1400000US12017451701,Census Tract 4517.01; Citrus County; Florida,539
1400000US12017451702,Census Tract 4517.02; Citrus County; Florida,295
1400000US12017990000,Census Tract 9900; Citrus County; Florida,0
1400000US12019030103,Census Tract 301.03; Clay County; Florida,727
1400000US12019030104,Census Tract 301.04; Clay County; Florida,526
1400000US12019030105,Census Tract 301.05; Clay County; Florida,58
1400000US12019030106,Census Tract 301.06; Clay County; Florida,579
1400000US12019030204,Census Tract 302.04; Clay County; Florida,1509
1400000US12019030205,Census Tract 302.05; Clay County; Florida,3432
1400000US12019030206,Census Tract 302.06; Clay County; Florida,865
1400000US12019030207,Census Tract 302.07; Clay County; Florida,1613
1400000US12019030208,Census Tract 302.08; Clay County; Florida,931
1400000US12019030209,Census Tract 302.09; Clay County; Florida,495
1400000US12019030210,Census Tract 302.10; Clay County; Florida,1053
1400000US12019030303,Census Tract 303.03; Clay County; Florida,453
1400000US12019030304,Census Tract 303.04; Clay County; Florida,716
1400000US12019030305,Census Tract 303.05; Clay County; Florida,838
1400000US12019030306,Census Tract 303.06; Clay County; Florida,1296
1400000US12019030400,Census Tract 304; Clay County; Florida,272
1400000US12019030500,Census Tract 305; Clay County; Florida,565
1400000US12019030600,Census Tract 306; Clay County; Florida,1278
1400000US12019030701,Census Tract 307.01; Clay County; Florida,2809
1400000US12019030704,Census Tract 307.04; Clay County; Florida,2378
1400000US12019030705,Census Tract 307.05; Clay County; Florida,2173
1400000US12019030706,Census Tract 307.06; Clay County; Florida,771
1400000US12019030707,Census Tract 307.07; Clay County; Florida,2330
1400000US12019030708,Census Tract 307.08; Clay County; Florida,725
1400000US12019030801,Census Tract 308.01; Clay County; Florida,1159
1400000US12019030802,Census Tract 308.02; Clay County; Florida,1170
1400000US12019030903,Census Tract 309.03; Clay County; Florida,613
1400000US12019030904,Census Tract 309.04; Clay County; Florida,1267
1400000US12019030905,Census Tract 309.05; Clay County; Florida,1060
1400000US12019030906,Census Tract 309.06; Clay County; Florida,399
1400000US12019031101,Census Tract 311.01; Clay County; Florida,420
1400000US12019031104,Census Tract 311.04; Clay County; Florida,643
1400000US12019031105,Census Tract 311.05; Clay County; Florida,334
1400000US12019031108,Census Tract 311.08; Clay County; Florida,380
1400000US12019031109,Census Tract 311.09; Clay County; Florida,506
1400000US12019031110,Census Tract 311.10; Clay County; Florida,339
1400000US12019031201,Census Tract 312.01; Clay County; Florida,405
1400000US12019031202,Census Tract 312.02; Clay County; Florida,1886
1400000US12019031203,Census Tract 312.03; Clay County; Florida,1952
1400000US12019031301,Census Tract 313.01; Clay County; Florida,265
1400000US12019031302,Census Tract 313.02; Clay County; Florida,1160
1400000US12019031303,Census Tract 313.03; Clay County; Florida,840
1400000US12019031400,Census Tract 314; Clay County; Florida,777
1400000US12019031500,Census Tract 315; Clay County; Florida,452
1400000US12019980000,Census Tract 9800; Clay County; Florida,65
1400000US12021000101,Census Tract 1.01; Collier County; Florida,747
1400000US12021000102,Census Tract 1.02; Collier County; Florida,911
1400000US12021000200,Census Tract 2; Collier County; Florida,651
1400000US12021000301,Census Tract 3.01; Collier County; Florida,1795
1400000US12021000302,Census Tract 3.02; Collier County; Florida,638
1400000US12021000401,Census Tract 4.01; Collier County; Florida,1775
1400000US12021000402,Census Tract 4.02; Collier County; Florida,1298
1400000US12021000500,Census Tract 5; Collier County; Florida,1070
1400000US12021000600,Census Tract 6; Collier County; Florida,589
1400000US12021000700,Census Tract 7; Collier County; Florida,407
1400000US12021010102,Census Tract 101.02; Collier County; Florida,2855
1400000US12021010107,Census Tract 101.07; Collier County; Florida,1200
1400000US12021010108,Census Tract 101.08; Collier County; Florida,1182
1400000US12021010109,Census Tract 101.09; Collier County; Florida,563
1400000US12021010110,Census Tract 101.10; Collier County; Florida,1200
1400000US12021010111,Census Tract 101.11; Collier County; Florida,1440
1400000US12021010112,Census Tract 101.12; Collier County; Florida,866
1400000US12021010113,Census Tract 101.13; Collier County; Florida,1457
1400000US12021010114,Census Tract 101.14; Collier County; Florida,978
1400000US12021010205,Census Tract 102.05; Collier County; Florida,1575
1400000US12021010208,Census Tract 102.08; Collier County; Florida,2413
1400000US12021010209,Census Tract 102.09; Collier County; Florida,1824
1400000US12021010210,Census Tract 102.10; Collier County; Florida,1780
1400000US12021010211,Census Tract 102.11; Collier County; Florida,961
1400000US12021010213,Census Tract 102.13; Collier County; Florida,2488
1400000US12021010215,Census Tract 102.15; Collier County; Florida,2152
1400000US12021010216,Census Tract 102.16; Collier County; Florida,1182
1400000US12021010217,Census Tract 102.17; Collier County; Florida,1151
1400000US12021010300,Census Tract 103; Collier County; Florida,1018
1400000US12021010401,Census Tract 104.01; Collier County; Florida,1120
1400000US12021010408,Census Tract 104.08; Collier County; Florida,839
1400000US12021010411,Census Tract 104.11; Collier County; Florida,863
1400000US12021010416,Census Tract 104.16; Collier County; Florida,2726
1400000US12021010419,Census Tract 104.19; Collier County; Florida,403
1400000US12021010420,Census Tract 104.20; Collier County; Florida,546
1400000US12021010421,Census Tract 104.21; Collier County; Florida,396
1400000US12021010422,Census Tract 104.22; Collier County; Florida,301
1400000US12021010423,Census Tract 104.23; Collier County; Florida,3249
1400000US12021010424,Census Tract 104.24; Collier County; Florida,1159
1400000US12021010425,Census Tract 104.25; Collier County; Florida,494
1400000US12021010426,Census Tract 104.26; Collier County; Florida,1109
1400000US12021010427,Census Tract 104.27; Collier County; Florida,329
1400000US12021010428,Census Tract 104.28; Collier County; Florida,965
1400000US12021010429,Census Tract 104.29; Collier County; Florida,666
1400000US12021010430,Census Tract 104.30; Collier County; Florida,1352
1400000US12021010431,Census Tract 104.31; Collier County; Florida,865
1400000US12021010432,Census Tract 104.32; Collier County; Florida,1508
1400000US12021010433,Census Tract 104.33; Collier County; Florida,671
1400000US12021010434,Census Tract 104.34; Collier County; Florida,2355
1400000US12021010435,Census Tract 104.35; Collier County; Florida,1940
1400000US12021010436,Census Tract 104.36; Collier County; Florida,2563
1400000US12021010437,Census Tract 104.37; Collier County; Florida,918
1400000US12021010438,Census Tract 104.38; Collier County; Florida,1519
1400000US12021010508,Census Tract 105.08; Collier County; Florida,1201
1400000US12021010511,Census Tract 105.11; Collier County; Florida,1287
1400000US12021010512,Census Tract 105.12; Collier County; Florida,518
1400000US12021010513,Census Tract 105.13; Collier County; Florida,442
1400000US12021010514,Census Tract 105.14; Collier County; Florida,879
1400000US12021010515,Census Tract 105.15; Collier County; Florida,812
1400000US12021010516,Census Tract 105.16; Collier County; Florida,517
1400000US12021010517,Census Tract 105.17; Collier County; Florida,493
1400000US12021010518,Census Tract 105.18; Collier County; Florida,2175
1400000US12021010519,Census Tract 105.19; Collier County; Florida,725
1400000US12021010520,Census Tract 105.20; Collier County; Florida,665
1400000US12021010601,Census Tract 106.01; Collier County; Florida,331
1400000US12021010602,Census Tract 106.02; Collier County; Florida,760
1400000US12021010604,Census Tract 106.04; Collier County; Florida,908
1400000US12021010605,Census Tract 106.05; Collier County; Florida,802
1400000US12021010606,Census Tract 106.06; Collier County; Florida,789
1400000US12021010701,Census Tract 107.01; Collier County; Florida,606
1400000US12021010702,Census Tract 107.02; Collier County; Florida,1185
1400000US12021010801,Census Tract 108.01; Collier County; Florida,1070
1400000US12021010804,Census Tract 108.04; Collier County; Florida,216
1400000US12021010805,Census Tract 108.05; Collier County; Florida,866
1400000US12021010806,Census Tract 108.06; Collier County; Florida,1359
1400000US12021010807,Census Tract 108.07; Collier County; Florida,2501
1400000US12021010808,Census Tract 108.08; Collier County; Florida,1464
1400000US12021010902,Census Tract 109.02; Collier County; Florida,1609
1400000US12021010904,Census Tract 109.04; Collier County; Florida,851
1400000US12021010905,Census Tract 109.05; Collier County; Florida,1160
1400000US12021010906,Census Tract 109.06; Collier County; Florida,653
1400000US12021010907,Census Tract 109.07; Collier County; Florida,942
1400000US12021011003,Census Tract 110.03; Collier County; Florida,1844
1400000US12021011103,Census Tract 111.03; Collier County; Florida,291
1400000US12021011107,Census Tract 111.07; Collier County; Florida,93
1400000US12021011108,Census Tract 111.08; Collier County; Florida,2905
1400000US12021011109,Census Tract 111.09; Collier County; Florida,1062
1400000US12021011110,Census Tract 111.10; Collier County; Florida,251
1400000US12021011111,Census Tract 111.11; Collier County; Florida,994
1400000US12021011112,Census Tract 111.12; Collier County; Florida,884
1400000US12021011113,Census Tract 111.13; Collier County; Florida,227
1400000US12021011114,Census Tract 111.14; Collier County; Florida,1112
1400000US12021011204,Census Tract 112.04; Collier County; Florida,223
1400000US12021011205,Census Tract 112.05; Collier County; Florida,173
1400000US12021011206,Census Tract 112.06; Collier County; Florida,609
1400000US12021011207,Census Tract 112.07; Collier County; Florida,1225
1400000US12021011208,Census Tract 112.08; Collier County; Florida,1960
1400000US12021011209,Census Tract 112.09; Collier County; Florida,3467
1400000US12021011210,Census Tract 112.10; Collier County; Florida,1582
1400000US12021011211,Census Tract 112.11; Collier County; Florida,878
1400000US12021011212,Census Tract 112.12; Collier County; Florida,1143
1400000US12021011213,Census Tract 112.13; Collier County; Florida,1865
1400000US12021011214,Census Tract 112.14; Collier County; Florida,423
1400000US12021011303,Census Tract 113.03; Collier County; Florida,66
1400000US12021011304,Census Tract 113.04; Collier County; Florida,149
1400000US12021011305,Census Tract 113.05; Collier County; Florida,41
1400000US12021011306,Census Tract 113.06; Collier County; Florida,87
1400000US12021011400,Census Tract 114; Collier County; Florida,163
1400000US12021990000,Census Tract 9900; Collier County; Florida,0
1400000US12023110201,Census Tract 1102.01; Columbia County; Florida,986
1400000US12023110202,Census Tract 1102.02; Columbia County; Florida,565
1400000US12023110300,Census Tract 1103; Columbia County; Florida,209
1400000US12023110400,Census Tract 1104; Columbia County; Florida,316
1400000US12023110500,Census Tract 1105; Columbia County; Florida,1377
1400000US12023110602,Census Tract 1106.02; Columbia County; Florida,557
1400000US12023110603,Census Tract 1106.03; Columbia County; Florida,400
1400000US12023110604,Census Tract 1106.04; Columbia County; Florida,1077
1400000US12023110700,Census Tract 1107; Columbia County; Florida,666
1400000US12023110800,Census Tract 1108; Columbia County; Florida,434
1400000US12023110901,Census Tract 1109.01; Columbia County; Florida,215
1400000US12023110903,Census Tract 1109.03; Columbia County; Florida,596
1400000US12023110904,Census Tract 1109.04; Columbia County; Florida,668
1400000US12027010101,Census Tract 101.01; DeSoto County; Florida,735
1400000US12027010102,Census Tract 101.02; DeSoto County; Florida,228
1400000US12027010200,Census Tract 102; DeSoto County; Florida,526
1400000US12027010301,Census Tract 103.01; DeSoto County; Florida,185
1400000US12027010302,Census Tract 103.02; DeSoto County; Florida,97
1400000US12027010403,Census Tract 104.03; DeSoto County; Florida,453
1400000US12027010404,Census Tract 104.04; DeSoto County; Florida,114
1400000US12027010405,Census Tract 104.05; DeSoto County; Florida,236
1400000US12027010406,Census Tract 104.06; DeSoto County; Florida,236
1400000US12029970101,Census Tract 9701.01; Dixie County; Florida,436
1400000US12029970103,Census Tract 9701.03; Dixie County; Florida,191
1400000US12029970104,Census Tract 9701.04; Dixie County; Florida,153
1400000US12029970201,Census Tract 9702.01; Dixie County; Florida,113
1400000US12029970202,Census Tract 9702.02; Dixie County; Florida,144
1400000US12029990000,Census Tract 9900; Dixie County; Florida,0
1400000US12031000101,Census Tract 1.01; Duval County; Florida,480
1400000US12031000102,Census Tract 1.02; Duval County; Florida,189
1400000US12031000200,Census Tract 2; Duval County; Florida,204
1400000US12031000300,Census Tract 3; Duval County; Florida,113
1400000US12031000600,Census Tract 6; Duval County; Florida,1221
1400000US12031000700,Census Tract 7; Duval County; Florida,1815
1400000US12031000800,Census Tract 8; Duval County; Florida,1839
1400000US12031001000,Census Tract 10; Duval County; Florida,124
1400000US12031001100,Census Tract 11; Duval County; Florida,839
1400000US12031001200,Census Tract 12; Duval County; Florida,617
1400000US12031001300,Census Tract 13; Duval County; Florida,143
1400000US12031001401,Census Tract 14.01; Duval County; Florida,318
1400000US12031001402,Census Tract 14.02; Duval County; Florida,199
1400000US12031001500,Census Tract 15; Duval County; Florida,248
1400000US12031001600,Census Tract 16; Duval County; Florida,71
1400000US12031002101,Census Tract 21.01; Duval County; Florida,1321
1400000US12031002102,Census Tract 21.02; Duval County; Florida,1122
1400000US12031002200,Census Tract 22; Duval County; Florida,2475
1400000US12031002300,Census Tract 23; Duval County; Florida,954
1400000US12031002400,Census Tract 24; Duval County; Florida,998
1400000US12031002501,Census Tract 25.01; Duval County; Florida,977
1400000US12031002502,Census Tract 25.02; Duval County; Florida,834
1400000US12031002600,Census Tract 26; Duval County; Florida,354
1400000US12031002701,Census Tract 27.01; Duval County; Florida,209
1400000US12031002702,Census Tract 27.02; Duval County; Florida,118
1400000US12031002801,Census Tract 28.01; Duval County; Florida,259
1400000US12031002802,Census Tract 28.02; Duval County; Florida,321
1400000US12031002901,Census Tract 29.01; Duval County; Florida,226
1400000US12031002902,Census Tract 29.02; Duval County; Florida,397
1400000US12031010101,Census Tract 101.01; Duval County; Florida,2887
1400000US12031010104,Census Tract 101.04; Duval County; Florida,1970
1400000US12031010105,Census Tract 101.05; Duval County; Florida,594
1400000US12031010106,Census Tract 101.06; Duval County; Florida,1542
1400000US12031010107,Census Tract 101.07; Duval County; Florida,1251
1400000US12031010202,Census Tract 102.02; Duval County; Florida,492
1400000US12031010203,Census Tract 102.03; Duval County; Florida,1424
1400000US12031010204,Census Tract 102.04; Duval County; Florida,469
1400000US12031010301,Census Tract 103.01; Duval County; Florida,1469
1400000US12031010305,Census Tract 103.05; Duval County; Florida,745
1400000US12031010306,Census Tract 103.06; Duval County; Florida,166
1400000US12031010307,Census Tract 103.07; Duval County; Florida,220
1400000US12031010308,Census Tract 103.08; Duval County; Florida,644
1400000US12031010401,Census Tract 104.01; Duval County; Florida,503
1400000US12031010402,Census Tract 104.02; Duval County; Florida,465
1400000US12031010501,Census Tract 105.01; Duval County; Florida,809
1400000US12031010502,Census Tract 105.02; Duval County; Florida,498
1400000US12031010503,Census Tract 105.03; Duval County; Florida,1548
1400000US12031010601,Census Tract 106.01; Duval County; Florida,415
1400000US12031010602,Census Tract 106.02; Duval County; Florida,521
1400000US12031010700,Census Tract 107; Duval County; Florida,1174
1400000US12031010800,Census Tract 108; Duval County; Florida,344
1400000US12031010900,Census Tract 109; Duval County; Florida,557
1400000US12031011000,Census Tract 110; Duval County; Florida,255
1400000US12031011100,Census Tract 111; Duval County; Florida,284
1400000US12031011200,Census Tract 112; Duval County; Florida,224
1400000US12031011300,Census Tract 113; Duval County; Florida,313
1400000US12031011400,Census Tract 114; Duval County; Florida,218
1400000US12031011500,Census Tract 115; Duval County; Florida,295
1400000US12031011600,Census Tract 116; Duval County; Florida,537
1400000US12031011700,Census Tract 117; Duval County; Florida,385
1400000US12031011800,Census Tract 118; Duval County; Florida,265
1400000US12031011901,Census Tract 119.01; Duval County; Florida,985
1400000US12031011903,Census Tract 119.03; Duval County; Florida,866
1400000US12031011904,Census Tract 119.04; Duval County; Florida,868
1400000US12031011905,Census Tract 119.05; Duval County; Florida,881
1400000US12031012000,Census Tract 120; Duval County; Florida,583
1400000US12031012100,Census Tract 121; Duval County; Florida,142
1400000US12031012201,Census Tract 122.01; Duval County; Florida,315
1400000US12031012202,Census Tract 122.02; Duval County; Florida,506
1400000US12031012300,Census Tract 123; Duval County; Florida,703
1400000US12031012400,Census Tract 124; Duval County; Florida,332
1400000US12031012500,Census Tract 125; Duval County; Florida,564
1400000US12031012601,Census Tract 126.01; Duval County; Florida,223
1400000US12031012602,Census Tract 126.02; Duval County; Florida,852
1400000US12031012702,Census Tract 127.02; Duval County; Florida,786
1400000US12031012703,Census Tract 127.03; Duval County; Florida,674
1400000US12031012704,Census Tract 127.04; Duval County; Florida,602
1400000US12031012800,Census Tract 128; Duval County; Florida,634
1400000US12031012900,Census Tract 129; Duval County; Florida,204
1400000US12031013000,Census Tract 130; Duval County; Florida,1206
1400000US12031013100,Census Tract 131; Duval County; Florida,1081
1400000US12031013200,Census Tract 132; Duval County; Florida,220
1400000US12031013301,Census Tract 133.01; Duval County; Florida,308
1400000US12031013302,Census Tract 133.02; Duval County; Florida,412
1400000US12031013402,Census Tract 134.02; Duval County; Florida,590
1400000US12031013403,Census Tract 134.03; Duval County; Florida,524
1400000US12031013404,Census Tract 134.04; Duval County; Florida,517
1400000US12031013502,Census Tract 135.02; Duval County; Florida,490
1400000US12031013504,Census Tract 135.04; Duval County; Florida,716
1400000US12031013522,Census Tract 135.22; Duval County; Florida,1359
1400000US12031013523,Census Tract 135.23; Duval County; Florida,711
1400000US12031013524,Census Tract 135.24; Duval County; Florida,629
1400000US12031013525,Census Tract 135.25; Duval County; Florida,1036
1400000US12031013526,Census Tract 135.26; Duval County; Florida,1057
1400000US12031013723,Census Tract 137.23; Duval County; Florida,2172
1400000US12031013728,Census Tract 137.28; Duval County; Florida,1075
1400000US12031013729,Census Tract 137.29; Duval County; Florida,689
1400000US12031013730,Census Tract 137.30; Duval County; Florida,982
1400000US12031013731,Census Tract 137.31; Duval County; Florida,978
1400000US12031013732,Census Tract 137.32; Duval County; Florida,459
1400000US12031013733,Census Tract 137.33; Duval County; Florida,1006
1400000US12031013800,Census Tract 138; Duval County; Florida,264
1400000US12031013901,Census Tract 139.01; Duval County; Florida,1080
1400000US12031013902,Census Tract 139.02; Duval County; Florida,1129
1400000US12031013904,Census Tract 139.04; Duval County; Florida,596
1400000US12031013905,Census Tract 139.05; Duval County; Florida,2369
1400000US12031013906,Census Tract 139.06; Duval County; Florida,2153
1400000US12031014001,Census Tract 140.01; Duval County; Florida,2317
1400000US12031014002,Census Tract 140.02; Duval County; Florida,1094
1400000US12031014101,Census Tract 141.01; Duval County; Florida,1595
1400000US12031014103,Census Tract 141.03; Duval County; Florida,927
1400000US12031014104,Census Tract 141.04; Duval County; Florida,1383
1400000US12031014203,Census Tract 142.03; Duval County; Florida,2575
1400000US12031014204,Census Tract 142.04; Duval County; Florida,2316
1400000US12031014205,Census Tract 142.05; Duval County; Florida,1227
1400000US12031014206,Census Tract 142.06; Duval County; Florida,521
1400000US12031014311,Census Tract 143.11; Duval County; Florida,517
1400000US12031014312,Census Tract 143.12; Duval County; Florida,1495
1400000US12031014328,Census Tract 143.28; Duval County; Florida,1607
1400000US12031014329,Census Tract 143.29; Duval County; Florida,680
1400000US12031014330,Census Tract 143.30; Duval County; Florida,2013
1400000US12031014331,Census Tract 143.31; Duval County; Florida,901
1400000US12031014333,Census Tract 143.33; Duval County; Florida,890
1400000US12031014334,Census Tract 143.34; Duval County; Florida,1666
1400000US12031014335,Census Tract 143.35; Duval County; Florida,2651
1400000US12031014336,Census Tract 143.36; Duval County; Florida,1956
1400000US12031014338,Census Tract 143.38; Duval County; Florida,1108
1400000US12031014339,Census Tract 143.39; Duval County; Florida,2200
1400000US12031014340,Census Tract 143.40; Duval County; Florida,1586
1400000US12031014341,Census Tract 143.41; Duval County; Florida,1329
1400000US12031014342,Census Tract 143.42; Duval County; Florida,1256
1400000US12031014343,Census Tract 143.43; Duval County; Florida,1611
1400000US12031014344,Census Tract 143.44; Duval County; Florida,1307
1400000US12031014408,Census Tract 144.08; Duval County; Florida,1270
1400000US12031014413,Census Tract 144.13; Duval County; Florida,2944
1400000US12031014414,Census Tract 144.14; Duval County; Florida,1890
1400000US12031014415,Census Tract 144.15; Duval County; Florida,201
1400000US12031014416,Census Tract 144.16; Duval County; Florida,1495
1400000US12031014417,Census Tract 144.17; Duval County; Florida,3413
1400000US12031014418,Census Tract 144.18; Duval County; Florida,780
1400000US12031014419,Census Tract 144.19; Duval County; Florida,2568
1400000US12031014420,Census Tract 144.20; Duval County; Florida,1876
1400000US12031014421,Census Tract 144.21; Duval County; Florida,2780
1400000US12031014422,Census Tract 144.22; Duval County; Florida,1148
1400000US12031014423,Census Tract 144.23; Duval County; Florida,7145
1400000US12031014424,Census Tract 144.24; Duval County; Florida,3050
